angle,sine,cosine
0,0,1
5,0.0871557,0.996195
10,0.173648,0.984808
15,0.258819,0.965926
20,0.34202,0.939693
25,0.422618,0.906308
30,0.5,0.866025
35,0.573576,0.819152
40,0.642788,0.766044
45,0.707107,0.707107
50,0.766044,0.642788
55,0.819152,0.573576
60,0.866025,0.5
65,0.906308,0.422618
70,0.939693,0.34202
75,0.965926,0.258819
80,0.984808,0.173648
85,0.996195,0.0871557
90,1,4.48966e-11
95,0.996195,-0.0871557
100,0.984808,-0.173648
105,0.965926,-0.258819
110,0.939693,-0.34202
115,0.906308,-0.422618
120,0.866025,-0.5
125,0.819152,-0.573576
130,0.766044,-0.642788
135,0.707107,-0.707107
140,0.642788,-0.766044
145,0.573576,-0.819152
150,0.5,-0.866025
155,0.422618,-0.906308
160,0.34202,-0.939693
165,0.258819,-0.965926
170,0.173648,-0.984808
175,0.0871557,-0.996195
180,8.97932e-11,-1
185,-0.0871557,-0.996195
190,-0.173648,-0.984808
195,-0.258819,-0.965926
200,-0.34202,-0.939693
205,-0.422618,-0.906308
210,-0.5,-0.866025
215,-0.573576,-0.819152
220,-0.642788,-0.766044
225,-0.707107,-0.707107
230,-0.766044,-0.642788
235,-0.819152,-0.573576
240,-0.866025,-0.5
245,-0.906308,-0.422618
250,-0.939693,-0.34202
255,-0.965926,-0.258819
260,-0.984808,-0.173648
265,-0.996195,-0.0871557
270,-1,-1.3469e-10
275,-0.996195,0.0871557
280,-0.984808,0.173648
285,-0.965926,0.258819
290,-0.939693,0.34202
295,-0.906308,0.422618
300,-0.866025,0.5
305,-0.819152,0.573576
310,-0.766044,0.642788
315,-0.707107,0.707107
320,-0.642788,0.766044
325,-0.573576,0.819152
330,-0.5,0.866025
335,-0.422618,0.906308
340,-0.34202,0.939693
345,-0.258819,0.965926
350,-0.173648,0.984808
355,-0.0871557,0.996195
360,-1.79586e-10,1
